ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Hour,Weather_Condition_Encoded
A-1295446,Source2,2,2020-09-11 16:10:09,2020-09-11 17:47:26,30.442335,-91.110138,,,0.0,Accident on Goodwood Blvd at Lobdell Ave.,Goodwood Blvd,Baton Rouge,East Baton Rouge,LA,70806,US,US/Central,KBTR,2020-09-11 15:53:00,90.0,90.0,52.0,29.85,10.0,VAR,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16.0,1
A-1303083,Source2,3,2020-09-17 15:07:02,2020-09-17 16:06:33,30.00482,-90.025909,,,0.0,Two lanes blocked due to accident on I-10 Eastbound at Highrise Bridge.,I-10 E,New Orleans,Orleans,LA,70126,US,US/Central,KNEW,2020-09-17 14:53:00,82.0,82.0,69.0,29.85,10.0,W,10.0,0.0,Fair,False,False,False,False,False,False,True,False,False,False,False,False,False,Day,Day,Day,Day,15.0,5
A-1313835,Source2,2,2020-09-25 08:21:35,2020-09-25 09:54:37,34.089901,-80.927338,,,0.0,Accident on US-1 Two Notch Rd at Rabon Rd.,Rabon Rd,Columbia,Richland,SC,29223,US,US/Eastern,KCUB,2020-09-25 08:31:00,71.0,71.0,100.0,29.82,7.0,CALM,0.0,0.01,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8.0,1
A-1319732,Source2,2,2020-09-30 08:52:54,2020-09-30 09:22:08,39.984833,-86.142044,,,2.470000028610229,Lane blocked due to accident on US-31 Southbound from Exit 129A Keystone Pkwy to Exit 128 Old Meridian St.,W 136th St,Carmel,Hamilton,IN,46032,US,US/Eastern,KTYQ,2020-09-30 08:55:00,52.0,52.0,76.0,28.72,10.0,SSW,16.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8.0,5
A-1323674,Source2,2,2020-10-02 16:35:53,2020-10-02 18:05:44,34.824589,-82.293777,,,0.0,Lane blocked due to accident on Woodruff Rd at SC-146.,Woodruff Rd,Greenville,Greenville,SC,29607-4116,US,US/Eastern,KGMU,2020-10-02 16:53:00,70.0,70.0,28.0,28.94,10.0,ENE,7.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16.0,5
A-1324774,Source2,2,2020-10-03 15:53:45,2020-10-03 16:53:53,35.618618,-77.60582,,,0.0,One lane blocked due to accident on US-264 at Exit 63 US-258.,US-264 E,Farmville,Pitt,NC,27828,US,US/Eastern,KPGV,2020-10-03 15:55:00,70.0,70.0,40.0,30.16,10.0,NNE,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15.0,5
A-1334216,Source2,3,2020-10-10 11:36:34,2020-10-10 13:27:00,42.866062,-85.67959599999998,,,0.0,Two lanes blocked due to accident on US-131 Northbound at Exit 78 54th St.,US-131 S,Wyoming,Kent,MI,49509,US,US/Eastern,KGRR,2020-10-10 11:53:00,68.0,68.0,81.0,28.9,10.0,WSW,16.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,11.0,1
A-1339059,Source2,3,2020-10-13 10:53:39,2020-10-13 11:39:00,34.096664000000004,-117.541718,,,0.0,#3-#4 lane blocked due to accident on I-15 Northbound before Foothill Blvd.,I-15 N,Rancho Cucamonga,San Bernardino,CA,91730,US,US/Pacific,KONT,2020-10-13 10:53:00,88.0,88.0,15.0,29.01,10.0,SSW,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,10.0,5
A-1351170,Source2,2,2020-10-21 16:33:50,2020-10-21 17:33:38,30.416386,-91.069817,,,0.0,Accident on US-61 Airline Hwy at Bluebonnet Blvd. No recent updates.,Airline Hwy,Baton Rouge,East Baton Rouge,LA,70816-4003,US,US/Central,KBTR,2020-10-21 16:53:00,86.0,86.0,51.0,29.94,10.0,ENE,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,16.0,5
A-1359825,Source2,2,2020-10-27 06:33:37,2020-10-27 07:48:15,38.988125,-92.285858,,,0.0,Accident on US-63 Northbound at Paris Rd.,Paris Rd,Columbia,Boone,MO,65202,US,US/Central,KCOU,2020-10-27 06:54:00,32.0,25.0,92.0,29.35,5.0,NE,8.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,6.0,1
A-1361253,Source2,2,2020-10-28 17:13:52,2020-10-28 17:58:20,25.866974,-80.322563,,,0.0,Three lanes blocked due to accident on FL-826 Palmetto Expy Southbound at 77th Ave.,W 20th Ave,Hialeah,Miami-Dade,FL,33016,US,US/Eastern,KOPF,2020-10-28 16:53:00,84.0,84.0,67.0,29.96,10.0,ESE,14.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,17.0,5
A-1381039,Source2,3,2020-07-08 09:39:34,2020-07-08 10:08:47,25.867542,-80.208443,,,0.0,Left lane blocked due to accident on I-95 Express Southbound before Exits 8A 8B FL-932 103rd St.,I-95 S,Miami,Miami-Dade,FL,33150,US,US/Eastern,KOPF,2020-07-08 09:53:00,86.0,86.0,61.0,30.01,10.0,SSW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,9.0,5
A-1381386,Source2,3,2020-07-08 22:00:56,2020-07-08 23:30:42,45.447769,-93.902184,,,0.0,Accident on MN-25 125th Ave at 84th St.,125th Ave SE,Becker,Sherburne,MN,55308-8995,US,US/Central,KMGG,2020-07-08 21:59:00,82.0,82.0,70.0,28.66,10.0,S,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,True,False,False,False,Night,Night,Day,Day,22.0,5
A-1383783,Source2,2,2020-07-12 15:53:13,2020-07-12 16:57:14,45.036278,-92.793549,,,0.0,Lane blocked due to accident on MN-36 St Croix Trl Westbound at MN-95 St Croix Trl St Croix Trl.,Saint Croix Trl N,Stillwater,Washington,MN,55082,US,US/Central,K21D,2020-07-12 15:55:00,79.0,79.0,51.0,28.94,10.0,W,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15.0,5
A-1394551,Source2,2,2020-07-21 05:15:07,2020-07-21 05:59:47,37.76704,-121.334999,,,0.0,Right hand shoulder blocked due to accident on I-205 Westbound near I-5 Exit 458B.,I-205 W,Tracy,San Joaquin,CA,95304,US,US/Pacific,KSCK,2020-07-21 04:55:00,60.0,60.0,75.0,29.8,10.0,NNW,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,5.0,5
A-1395162,Source2,3,2020-07-22 06:12:34,2020-07-22 07:11:03,25.927807,-80.20663499999998,,,0.0,Left lane blocked due to accident on I-95 Southbound near Exits 12 12B 12C FL-826.,I-95 S,Miami,Miami-Dade,FL,33169,US,US/Eastern,KHWO,2020-07-22 05:53:00,77.0,77.0,100.0,29.99,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,6.0,5
A-1403100,Source2,3,2020-07-28 16:34:37,2020-07-28 18:51:49,40.988415,-111.903198,,,0.0,HOV lane blocked due to accident on I-15 Southbound at Exit 325.,I-15 N,Farmington,Davis,UT,84025,US,US/Mountain,KHIF,2020-07-28 16:58:00,85.0,85.0,28.0,25.2,10.0,NNW,15.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16.0,5
A-1404672,Source2,2,2020-07-29 16:56:40,2020-07-29 17:43:20,37.958679,-122.363312,,,0.0,Lane blocked due to accident on Market Ave at Giaramita St.,Giaramita St,Richmond,Contra Costa,CA,94801-1607,US,US/Pacific,KCCR,2020-07-29 16:53:00,90.0,90.0,26.0,29.8,10.0,W,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16.0,5
A-1408141,Source2,3,2020-08-01 11:24:17,2020-08-01 12:23:57,32.998219,-80.093544,,,0.0,Left lane blocked due to accident on I-26 Westbound at Exit 203 College Park Rd.,I-26 W,Ladson,Berkeley,SC,29456,US,US/Eastern,KCHS,2020-08-01 10:56:00,92.0,92.0,55.0,29.94,10.0,WSW,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,11.0,5
A-1424785,Source2,3,2020-08-15 12:40:50,2020-08-15 15:42:07,41.50828900000001,-73.681236,,,0.0,Right hand shoulder blocked due to accident on I-84 Westbound at Exit 58 CR-40 Ludingtonville Rd.,Ludingtonville Rd,Holmes,Putnam,NY,12531-4507,US,US/Eastern,KDXR,2020-08-15 12:53:00,79.0,79.0,52.0,29.56,10.0,ENE,13.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,12.0,5
A-1437000,Source2,2,2020-08-25 09:47:33,2020-08-25 11:04:17,32.815201,-96.787033,,,0.0,Accident on Fitzhugh Ave near Alcott St.,N Fitzhugh Ave,Dallas,Dallas,TX,75204-3139,US,US/Central,KDAL,2020-08-25 09:53:00,86.0,86.0,59.0,29.5,10.0,VAR,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,9.0,5
A-1443303,Source2,3,2020-07-01 18:31:26,2020-07-01 20:06:03,40.751633,-74.18878199999997,,,0.0,Left and center lane closed due to accident on I-280 Westbound at Exit 13 1st St.,I-280 E,Newark,Essex,NJ,07107,US,US/Eastern,KEWR,2020-07-01 18:46:00,79.0,79.0,61.0,29.81,10.0,SSW,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,18.0,18
A-1459733,Source2,2,2020-05-01 13:48:29,2020-05-01 15:09:00,34.206432,-86.8592,,,0.0,Lane blocked due to accident on US-31 2nd Ave both ways at AL-157.,AL Highway 157,Cullman,Cullman,AL,35058,US,US/Central,K3A1,2020-05-01 13:53:00,73.0,73.0,31.0,29.42,10.0,VAR,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,13.0,5
A-1470272,Source2,3,2020-05-15 15:01:39,2020-05-15 15:45:55,40.692261,-73.999153,,,0.9499999880790708,Entry ramp to I-278 Northbound from Atlantic Ave Eastbound lane blocked due to accident.,State St,Brooklyn,Kings,NY,11201,US,US/Eastern,KJRB,2020-05-15 14:51:00,83.0,,46.0,29.79,10.0,,,0.0,Partly Cloudy,True,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15.0,22
A-1481557,Source2,3,2020-06-19 20:27:34,2020-06-19 21:18:59,41.56736400000001,-87.3368,,,0.0,Two lanes blocked due to accident on I-80 Westbound at Exit 10 IN-53 Broadway.,Broadway,Gary,Lake,IN,46407,US,US/Central,KGYY,2020-06-19 20:45:00,77.0,77.0,78.0,29.28,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,20.0,22
A-1497036,Source2,2,2020-06-06 13:31:09,2020-06-06 14:45:52,40.701061,-73.49011999999998,,,0.0,Left hand shoulder blocked due to accident on Southern Pkwy Eastbound at Exits 28A N 28A S NY-135 Exits 4E 4W.,Southern State Pkwy E,Seaford,Nassau,NY,11783,US,US/Eastern,KFRG,2020-06-06 13:53:00,85.0,85.0,63.0,29.62,10.0,SW,13.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,13.0,5
A-1500315,Source3,2,2020-06-09 06:39:59,2020-06-09 07:54:34,35.558475,-119.197166,,,0.0,Accident on CA-99 Northbound near Exit 41 Kimberlina Rd. No recent updates.,Kimberlina Rd,Mc Farland,Kern,CA,93250,US,US/Pacific,KBFL,2020-06-09 06:54:00,62.0,62.0,35.0,29.63,10.0,ESE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,6.0,5
A-1501739,Source3,2,2020-06-10 15:34:32,2020-06-10 16:04:14,33.876492,-118.105316,,,0.0,Accident on CA-91 Westbound at I-605.,Artesia Fwy W,Cerritos,Los Angeles,CA,90703,US,US/Pacific,KFUL,2020-06-10 15:53:00,93.0,93.0,15.0,29.78,10.0,SSW,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15.0,5
A-1508168,Source3,2,2020-06-16 07:34:14,2020-06-16 08:03:54,38.008438,-122.275627,,,0.0,Accident on I-80 Westbound at Exit 23 CA-4.,I-80 W,Hercules,Contra Costa,CA,94547,US,US/Pacific,KCCR,2020-06-16 07:53:00,62.0,62.0,56.0,29.94,10.0,W,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,7.0,5
A-1511681,Source2,3,2020-03-04 15:45:36,2020-03-04 16:14:17,38.190659,-85.725502,,,0.0,Left lane blocked due to accident on I-264 Watterson Expy Westbound at Exits 11 12 I-65 Exits 130 131A 131B.,Henry Watterson Expy W,Louisville,Jefferson,KY,40213,US,US/Eastern,KSDF,2020-03-04 15:56:00,62.0,62.0,30.0,29.42,10.0,NW,16.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15.0,1
A-1517025,Source2,2,2020-03-06 10:40:02,2020-03-06 12:14:30,36.140549,-95.958229,,,0.0,Accident on Lewis Ave at 15th St.,S Lewis Ave,Tulsa,Tulsa,OK,74104-4644,US,US/Central,KTUL,2020-03-06 10:53:00,51.0,51.0,36.0,29.84,10.0,SSW,7.0,0.0,Fair,True,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,10.0,5
A-1520084,Source2,2,2020-03-09 17:09:41,2020-03-09 17:54:20,30.468323,-97.796318,,,0.0,Accident on US-183 Northbound at RR-620.,N Highway 183,Austin,Williamson,TX,78717,US,US/Central,KATT,2020-03-09 16:58:00,67.0,67.0,90.0,29.44,5.0,SSE,6.0,0.0,Cloudy,False,False,True,True,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,17.0,1
A-1521506,Source2,2,2020-03-10 08:46:31,2020-03-10 09:48:19,27.893709,-82.256508,,,0.0,Accident on Bloomingdale Ave at Cade Ln.,Bloomingdale Ave,Valrico,Hillsborough,FL,33596,US,US/Eastern,KPCM,2020-03-10 08:50:00,66.0,66.0,78.0,30.13,10.0,E,3.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,8.0,18
A-1526547,Source2,2,2020-03-12 09:46:24,2020-03-12 10:16:00,34.159603000000004,-118.465691,,,0.0,#1 lane blocked due to accident on US-101 Westbound before I-405 .,US-101 N,Sherman Oaks,Los Angeles,CA,91403,US,US/Pacific,KVNY,2020-03-12 09:51:00,60.0,60.0,69.0,28.99,10.0,ENE,6.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,9.0,18
A-1529233,Source3,2,2020-03-14 20:14:44,2020-03-14 21:14:28,37.37504600000001,-121.934242,,,0.0,Lane blocked due to accident on CA-87 Guadalupe Pkwy Northbound at Exits 9A 9B US-101 Exit 391.,Bayshore Fwy S,San Jose,Santa Clara,CA,95110,US,US/Pacific,KSJC,2020-03-14 19:53:00,51.0,51.0,86.0,29.9,9.0,SE,7.0,0.03,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,20.0,15
A-1544368,Source2,2,2020-04-02 07:58:24,2020-04-02 09:00:46,29.79598,-95.4132,,,0.0,Accident on Prince St at 14th St.,W 14th St,Houston,Harris,TX,77008-3723,US,US/Central,KMCJ,2020-04-02 07:53:00,67.0,67.0,73.0,29.9,10.0,ESE,8.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day,7.0,1
A-1562612,Source2,2,2020-04-22 16:30:00,2020-04-22 17:44:38,30.40852000000001,-91.016037,,,0.0,Accident on Jones Creek Rd at Coursey Blvd.,Jones Creek Rd,Baton Rouge,East Baton Rouge,LA,70817,US,US/Central,KBTR,2020-04-22 16:53:00,80.0,80.0,50.0,29.75,10.0,SE,16.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,16.0,18
A-1566128,Source3,3,2020-04-26 15:55:50,2020-04-26 18:08:32,34.154140000000005,-118.467949,,,0.0,HOV/#1/#2 lane blocked due to accident on I-405 Northbound at Exits 63A 63B US-101 Exit 18. SigAlert issued.,I-405 N,Sherman Oaks,Los Angeles,CA,91403,US,US/Pacific,KVNY,2020-04-26 15:51:00,89.0,89.0,29.0,29.04,10.0,SE,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15.0,5
A-1566564,Source2,2,2020-04-27 13:49:40,2020-04-27 15:49:14,28.258551,-81.486038,,,0.0,Lane blocked due to accident on Poinciana Blvd at Old Tampa Hwy.,S Poinciana Blvd,Kissimmee,Osceola,FL,34758-2006,US,US/Eastern,KISM,2020-04-27 13:56:00,74.0,74.0,37.0,30.05,10.0,NW,9.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,13.0,5
A-1566919,Source2,2,2020-04-27 07:53:36,2020-04-27 08:59:49,35.209461,-90.03272199999998,,,0.0,Accident on US-51 Thomas St at Whitney Ave.,Thomas St,Memphis,Shelby,TN,38127,US,US/Central,KNQA,2020-04-27 07:55:00,55.0,55.0,72.0,29.93,10.0,SE,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,7.0,22
A-1580972,Source2,2,2020-01-08 07:31:44,2020-01-08 09:31:26,35.8634,-78.598389,,,0.0,Accident on Litchford Rd at Dixie Forest Rd.,Old Wake Forest Rd,Raleigh,Wake,NC,27615,US,US/Eastern,KRDU,2020-01-08 07:51:00,32.0,32.0,79.0,29.75,10.0,SW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,7.0,5
A-1583678,Source2,3,2020-01-09 16:33:34,2020-01-09 17:18:08,32.599388,-97.319542,,,0.0,#3 lane blocked due to accident on I-35W Southbound at Garden Acres Dr.,I-35W S,Fort Worth,Tarrant,TX,76140,US,US/Central,KFWS,2020-01-09 16:49:00,72.0,72.0,69.0,29.14,10.0,SSE,14.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16.0,22
A-1584288,Source3,2,2020-01-09 09:05:14,2020-01-09 10:34:53,37.901409,-122.516258,,,0.1899999976158142,Entry ramp to US-101 Southbound from E Blithedale Ave restrictions on entry ramp due to accident.,Redwood Hwy,Mill Valley,Marin,CA,94941,US,US/Pacific,KDVO,2020-01-09 09:15:00,50.0,50.0,100.0,29.92,10.0,WSW,6.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,9.0,18
A-1592448,Source2,2,2020-01-14 07:10:27,2020-01-14 08:55:20,38.40876,-121.449883,,,0.0,Right and center lane blocked due to accident on Elk Grove Blvd Southbound before CR-J8 Franklin Blvd.,Franklin Blvd,Elk Grove,Sacramento,CA,95758,US,US/Pacific,KSAC,2020-01-14 06:53:00,46.0,41.0,83.0,30.15,10.0,SSW,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day,7.0,5
A-1594079,Source2,2,2020-01-15 11:36:56,2020-01-15 12:23:00,30.4494,-97.589653,,,0.0,Serious accident on Colorado Sand Dr at Pflugerville Pkwy.,E Pflugerville Pkwy,Pflugerville,Travis,TX,78660,US,US/Central,KEDC,2020-01-15 11:35:00,75.0,75.0,73.0,29.43,9.0,SSW,14.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,11.0,18
A-1604283,Source2,3,2020-01-21 06:02:12,2020-01-21 10:05:57,29.784811,-95.610504,,,0.0,Left hand shoulder blocked and left lane blocked due to accident on I-10 Westbound at Dairy Ashford Rd.,Katy Tollway,Houston,Harris,TX,77079,US,US/Central,KSGR,2020-01-21 05:53:00,38.0,38.0,89.0,30.4,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,6.0,5
A-1608534,Source2,2,2020-01-24 08:14:35,2020-01-24 08:59:08,29.35919,-81.162849,,,0.0,Accident on US-1 at Eagle Rock Rd.,Eagle Rock Rd,Ormond Beach,Flagler,FL,32174,US,US/Eastern,KOMN,2020-01-24 07:50:00,63.0,63.0,100.0,30.02,4.0,SE,6.0,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8.0,18
A-1612453,Source3,2,2020-01-25 17:59:57,2020-01-25 18:46:00,34.153687,-118.287758,,,0.0,Accident on CA-134 Eastbound at Exit 5A Riverside Dr.,CA-134 E,Los Angeles,Los Angeles,CA,90027,US,US/Pacific,KCQT,2020-01-25 17:52:00,61.0,61.0,72.0,29.84,4.0,CALM,0.0,0.0,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,17.0,8
A-1622760,Source2,2,2020-01-31 08:48:45,2020-01-31 10:18:24,30.674999,-88.126068,,,1.940000057220459,Exit ramp from I-65 Northbound to Airport Blvd lane blocked due to accident.,E I65 Service Rd S,Mobile,Mobile,AL,36606-3109,US,US/Central,KBFM,2020-01-31 08:53:00,55.0,55.0,89.0,30.06,6.0,E,3.0,0.04,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8.0,15
A-1646312,Source2,3,2020-02-13 06:56:18,2020-02-13 08:10:18,26.104546,-80.27288100000001,,,0.0,2 left lane blocked due to accident on I-595 Eastbound at Exits 4 5&6 FL-84.,I-595 E,Fort Lauderdale,Broward,FL,33324,US,US/Eastern,KHWO,2020-02-13 06:53:00,77.0,77.0,74.0,30.07,10.0,SSE,13.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,6.0,22
A-1656701,Source2,2,2020-02-19 07:30:17,2020-02-19 08:00:04,28.375959,-82.286911,,,0.0,Accident on CR-577 Saint Joe Rd at CR-577 Lake Iola Rd.,Saint Joe Rd,Dade City,Pasco,FL,33525,US,US/Eastern,KZPH,2020-02-19 07:35:00,72.0,72.0,94.0,30.03,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,7.0,1
A-1664148,Source2,3,2020-02-24 09:46:49,2020-02-24 10:16:10,38.833801,-77.217773,,,2.559999942779541,Left lane blocked due to accident on I-495 Capital Beltway Northbound between Exits 54A-B 54B-A VA-620 Braddock Rd and Exits 52A-B 52B-A VA-236 Little River Tpke.,Capital Beltway N,Annandale,Fairfax County,VA,22003,US,US/Eastern,KDAA,2020-02-24 09:56:00,47.0,47.0,51.0,,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,9.0,5
A-1667660,Source2,2,2020-02-25 09:05:19,2020-02-25 11:19:00,32.670094,-114.521439,,,0.0,Accident on I-8-BL 32nd St at AZ-195 Araby Rd. No recent updates.,E 32nd St,Yuma,Yuma,AZ,85365,US,US/Mountain,KNYL,2020-02-25 08:57:00,67.0,67.0,18.0,29.98,7.0,N,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,9.0,5
A-1679947,Source2,2,2019-12-27 17:41:35,2019-12-27 18:41:22,42.38362100000001,-71.072098,,,0.0,Accident on Main St at Mishawum St.,Mishawum St,Charlestown,Suffolk,MA,02129,US,US/Eastern,KBOS,2019-12-27 17:54:00,52.0,52.0,66.0,30.01,10.0,WSW,13.0,0.0,Mostly Cloudy,False,False,True,False,False,False,True,False,True,False,False,False,False,Night,Night,Night,Day,17.0,18
A-1689680,Source2,2,2019-12-02 07:42:05,2019-12-02 08:42:08,47.901451,-122.238983,,,0.0,Accident on 4th Ave at 106th Pl.,4th Ave W,Everett,Snohomish,WA,98204-7051,US,US/Pacific,KPAE,2019-12-02 07:53:00,40.0,40.0,86.0,29.45,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,7.0,1
A-1692119,Source2,2,2019-12-03 10:28:05,2019-12-03 11:50:41,29.757771,-95.37429,,,0.6600000262260437,Accident on Dallas St between Bagby St and Pease St.,W Dallas St,Houston,Harris,TX,77002-2519,US,US/Central,KMCJ,2019-12-03 10:53:00,64.0,64.0,46.0,30.02,10.0,S,12.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,10.0,22
A-1697233,Source2,2,2019-12-05 17:32:01,2019-12-05 18:51:35,36.115826,-86.77379599999998,,,0.0,Accident on I-65 Northbound at Exit 80 I-440 Exit 5.,Franklin Pike,Nashville,Davidson,TN,37204,US,US/Central,KBNA,2019-12-05 17:53:00,54.0,54.0,41.0,29.45,10.0,S,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,17.0,18
A-1717865,Source2,3,2019-12-16 07:55:48,2019-12-16 09:13:17,42.356155,-71.050812,,,0.0,Right lane blocked due to accident on I-93 Northbound at O'Neill Tunnel.,Atlantic Ave,Boston,Suffolk,MA,02110,US,US/Eastern,KBOS,2019-12-16 07:54:00,32.0,23.0,38.0,30.19,10.0,W,13.0,0.0,Cloudy,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day,7.0,1
A-1719077,Source3,2,2019-12-16 16:22:50,2019-12-16 18:15:22,45.00787,-93.106583,,,0.0,Accident on MN-36 Eastbound at Rice St.,Highway 36 W,Saint Paul,Ramsey,MN,55113,US,US/Central,KSTP,2019-12-16 16:22:00,25.0,18.0,69.0,29.44,10.0,W,6.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16.0,18
A-1748625,Source2,2,2019-10-11 17:29:02,2019-10-11 18:38:09,41.704418,-87.798058,,,0.0,Accident on IL-43 Harlem Ave at 103rd St.,103rd St,Chicago Ridge,Cook,IL,60415,US,US/Central,KMDW,2019-10-11 17:53:00,44.0,37.0,76.0,29.32,10.0,W,16.0,0.0,Cloudy,False,False,False,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day,17.0,1
A-1787701,Source2,2,2019-10-30 19:45:25,2019-10-30 20:48:47,35.526035,-97.529541,,,0.0,Accident on I-44 Westbound at Exit 126 Western Ave.,Historic Route 66 E,Oklahoma City,Oklahoma,OK,73118,US,US/Central,KPWA,2019-10-30 19:53:00,34.0,22.0,73.0,28.89,10.0,NNW,22.0,0.0,Cloudy / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,19.0,2
